purpose|цель
anxious|тревожный
anymore|больше
anyway|всё равно
anywhere|где-нибудь
apart|отдельно
apartment|квартира
apologize|извиняться
apparently|по-видимому
appear|появляться
appearance|внешность
apply|применять
appointment|встреча
appreciate|ценить
architecture|архитектура
area|район
argument|спор
armchair|кресло
armed|вооружённый
around|вокруг
artificial|искусственный
asleep|спящий
assistant|вспомогательный
association|ассоциация
astronaut|астронавт
athlete|спортсмен
atom|атом
attack|нападение
attempt|попытка
attention|внимание
attractive|привлекательный
audience|аудитория
audio|звуковой
author|автор
automatic|автоматический
automatically|автоматически
average|средний
award|награда
awful|ужасный
background|фон
badly|плохо
badminton|бадминтон
bake|печь
balcony|балкон
balloon|воздушный шар
banking|банковское дело
barbecue|барбекю
barber|парикмахер
bargain|выгодная сделка
base|основание
basic|основной
basically|в основном
basket|корзина
batch|партия
battery|батарея
bay|залив
beauty|красота
beer|пиво
beg|просить
beginner|начинающий
beginning|начало
behavior|поведение
being|существо
belly|живот
belong|принадлежать
belt|ремень
bench|скамейка
bend|сгибать
besides|кроме того
bill|счёт
bit|кусочек
bite|укус
blackboard|доска
blame|винить
blanket|одеяло
blonde|светловолосый
blood|кровь
bloom|цветение
boil|кипятить
boiled|варёный
bonus|бонус
bookcase|книжный шкаф
bookshelf|книжная полка
bookshop|книжный магазин
boss|начальник
bother|беспокоить
bra|бюстгальтер
brainstorm|мозговой штурм
brake|тормоз
branch|ветка
brand|бренд
brave|храбрый
breeze|бриз
bride|невеста
brilliant|блестящий
budget|бюджет
bug|жук
bulb|лампочка
burn|ожог
bury|хоронить
bush|куст
businessman|бизнесмен
businesswoman|бизнес-леди
cab|такси
cafeteria|кафетерий
calendar|календарь
camping|кемпинг
campus|кампус
can|банка
capital|столица
captain|капитан
carrot|морковь
cash|наличные
cassette|кассета
castle|замок
cause|причинять
cent|цент
center|центр
centimeter|сантиметр
century|век
cereal|хлопья
certain|определённый
certainly|конечно
chain|цепь
chairman|председатель
champagne|шампанское
championship|чемпионат
chance|шанс
chapter|глава
chart|диаграмма
chat|болтать
cheek|щека
cheer|подбадривать
chef|шеф-повар
chemical|химический
cheque|чек
chess|шахматы
chest|грудь
childhood|детство
chili|чили
chimpanzee|шимпанзе
chin|подбородок
chirp|чириканье
cigarette|сигарета
citizen|гражданин
claim|утверждать
classic|классический
cleaner|уборщик
clear|ясный
clearly|ясно
clerk|клерк
click|щёлкать
climbing|скалолазание
clone|клонировать
clown|клоун
clue|подсказка
coast|побережье
coin|монета
cola|кола
colorful|красочный
column|колонна
comb|расчёска
comic|комический
commitment|обязательство
committee|комитет
common|общий
communicate|общаться
company|компания
comparative|сравнительная степень
compare|сравнивать
competition|соревнование
complain|жаловаться
complaint|жалоба
complete|полный
composer|композитор
concentrate|сосредотачиваться
concern|беспокойство
confident|уверенный
confuse|путать
confused|растерянный
consist|состоять
contact|контакт
container|контейнер
context|контекст
continent|континент
contrast|контраст
control|контроль
convenience|удобство
convenient|удобный
cooker|плита
cooking|приготовление пищи
cooler|холодильник
correctly|правильно
countryside|сельская местность
couple|пара
court|корт
crazy|сумасшедший
create|создавать
creative|творческий
creativity|творчество
creature|существо
credit|кредит
cricket|крикет
crime|преступление
crisp|чипс
criticize|критиковать
cross|крест
crowd|толпа
crowded|переполненный
crown|корона
cruise|круиз
cupboard|шкаф
curry|карри
curse|проклятие
custom|обычай
cycling|езда на велосипеде
daily|ежедневный
dam|плотина
dancer|танцор
danger|опасность
daylight|дневной свет
dead|мёртвый
deal|сделка
death|смерть
debate|дискуссия
deep|глубоко
deeply|глубоко
degree|степень
delay|задержка
dentist|стоматолог
depend|зависеть
description|описание
desert|пустыня
dessert|десерт
destroy|разрушать
developed|развитый
diamond|алмаз
diary|дневник
die|умирать
diet|диета
differently|по-другому
difficulty|трудность
dinosaur|динозавр
direct|прямой
direction|направление
director|директор
disadvantage|недостаток
disagree|не соглашаться
disappear|исчезать
disappointed|разочарованный
disappointing|разочаровывающий
disco|дискотека
discover|открывать
discussion|обсуждение
dishonest|нечестный
dislike|неприязнь
display|витрина
disturb|беспокоить
divide|делить
dizzy|головокружительный
double|двойной
doubt|сомнение
download|скачивать
downstairs|вниз по лестнице
downtown|в центре города
drawer|ящик
drawing|рисунок
dressed|одетый
drill|дрель
drug|лекарство
drugstore|аптека
duck|утка
dust|пыль
earring|серьга
earth|земля
earthquake|землетрясение
easily|легко
east|восточный
editor|редактор
educational|образовательный
effect|эффект
elderly|пожилой
electric|электрический
elephant|слон
elevator|лифт
elsewhere|в другом месте
embarrassing|неловкий
emergency|чрезвычайная ситуация
endangered|исчезающий
ending|конец
energetic|энергичный
enormous|огромный
enter|входить
entertainment|развлечение
entrance|вход
envelope|конверт
envy|зависть
episode|эпизод
error|ошибка
escalator|эскалатор
escape|побег
especially|особенно
essay|эссе
euro|евро
even|даже
ever|когда-либо
exactly|точно
exam|экзамен
exchange|обмен
exhibition|выставка
exist|существовать
expert|эксперт
explanation|объяснение
explore|исследовать
express|экспресс
expression|выражение
extra|дополнительный
extremely|крайне
fact|факт
fail|терпеть неудачу
fairly|довольно
familiar|знакомый
fancy|нарядный
fantastic|фантастический
far|далеко
fare|стоимость проезда
fascinating|увлекательный
fashion|мода
fault|вина
favor|одолжение
fear|страх
feather|перо
fee|плата
female|женский
fence|забор
fiction|художественная литература
fighter|боец
figure|фигура
film|фильм
final|финальный
finally|наконец
fisherman|рыбак
fit|здоровый
flea|блоха
flight|полёт
float|поплавок
flood|наводнение
flour|мука
fog|туман
folder|папка
fool|дурак
footballer|футболист
forbid|запрещать
force|сила
forever|навсегда
fork|вилка
fortunately|к счастью
fortune|состояние
forward|вперёд
frame|рама
frank|откровенный
freeze|замерзать
fresh|свежий
fridge|холодильник
fried|жареный
friendship|дружба
frighten|пугать
frightened|испуганный
frightening|пугающий
fry|малёк
fully|полностью
function|функционировать
furniture|мебель
further|дальнейший
gallery|галерея
garage|гараж
garlic|чеснок
gas|газ
gate|ворота
gather|собирать
gender|пол
gentle|мягкий
given|данный
globe|глобус
glove|перчатка
golden|золотой
golf|гольф
good-looking|привлекательный
grace|грация
gradually|постепенно
graduate|оканчивать
gram|грамм
grandchild|внук
granddad|дедушка
granddaughter|внучка
grandson|внук
granny|бабушка
grateful|благодарный
greatly|очень
greedy|жадный
grilled|приготовленный на гриле
guard|охранник
guidebook|путеводитель
gun|пистолет
half-price|полцены
ham|ветчина
handbag|сумочка
handicapped|инвалидный
happily|счастливо
happiness|счастье
hardly|едва
harm|вредить
harmful|вредный
harmony|гармония
harvest|урожай
hate|ненавидеть
headphone|наушник
headteacher|директор школы
heat|жара
heating|отопление
heavily|тяжело
helpful|полезный
hero|герой
highway|шоссе
hike|поход
hiking|пешеходный туризм
hit|ударять
hockey|хоккей
honey|мёд
honor|честь
horror|ужас
host|хозяин
however|однако
hug|обнимать
human|человеческий
hunter|охотник
id|удостоверение личности
ill|больной
illegal|незаконный
image|образ
imagination|воображение
impatient|нетерпеливый
importance|важность
importantly|важно
impossible|невозможный
impress|впечатлять
in|внутрь
inch|дюйм
include|включать
indeed|действительно
independence|независимость
indicate|указывать
indoor|комнатный
inexpensive|недорогой
injure|травмировать
inner|внутренний
insect|насекомое
inside|внутри
inspiration|вдохновение
instant|мгновенный
instead|вместо
instrument|инструмент
intelligence|интеллект
intelligent|умный
interest|интерес
international|международный
invade|вторгаться
invent|изобретать
invention|изобретение
it|оно
jam|варенье
jelly|желе
joke|шутка
joy|радость
junior|младший
junk|хлам
killer|убийца
kilo|кило
kilogram|килограмм
kilometer|километр
kindly|добрый
kingdom|королевство
kit|набор
knock|стук
labor|труд
lack|нехватка
lake|озеро
lamp|лампа
land|приземляться
landscape|пейзаж
lane|полоса
latest|последний
latter|последний
law|закон
lawyer|юрист
laziness|лень
lead|руководство
learner|ученик
leather|кожа
left-hand|левый
leisure|досуг
lemon|лимон
lemonade|лимонад
lend|одалживать
less|меньше
level|уровень
liberty|свобода
license|лицензировать
lie|лежать
lifestyle|образ жизни
likely|вероятный
lip|губа
liter|литр
lively|живой
load|груз
local|местный
lock|замок
logical|логичный
loose|свободный
lost|потерянный
loudly|громко
lover|возлюбленный
low|низкий
luckily|к счастью
lunchtime|обеденный перерыв
lyric|лирический
mad|сумасшедший
magic|волшебный
mainly|главным образом
major|главный
make-up|макияж
maker|создатель
male|мужчина
mall|торговый центр
manner|манера
mark|отметка
married|женатый
marry|жениться
marvelous|изумительный
material|материал
max|максимум
meaning|значение
medal|медаль
medical|медицинский
melon|дыня
member|член
menu|меню
metal|металл
meter|метр
midday|полдень
midnight|полночь
military|военный
mirror|зеркало
missing|пропавший
mistake|ошибка
mix|смешивать
model|модель
mood|настроение
mosque|мечеть
most|наиболее
mostly|в основном
motorway|автострада
mug|кружка
murder|убийство
mushroom|гриб
musical|музыкальный
mysterious|таинственный
mystery|тайна
napkin|салфетка
nation|нация
national|национальный
native|родной
natural|естественный
nature|природа
nearly|почти
necessary|необходимый
negative|отрицательный
nervous|нервный
net|чистый
next|затем
noisy|шумный
noon|полдень
normal|нормальный
north|северный
notice|объявление
noun|существительное
novel|роман
nowadays|в наши дни
oak|дуб
occupation|занятие
offer|предложение
official|официальный
oil|масло
olympic|олимпийский
omelet|омлет
on|дальше
onion|лук
online|онлайн
operate|работать
opinion|мнение
oppose|противостоять
opposite|противоположный
organize|организовывать
organized|организованный
original|оригинальный
orphan|сирота
oven|духовка
over|сверху
overseas|за рубежом
overweight|полный
pacific|мирный
pack|пачка
painter|художник
pal|приятель
pan|сковорода
panic|паника
part|часть
partly|частично
pass|пропуск
passage|проход
passenger|пассажир
pasta|паста
path|тропа
patient|пациент
pc|компьютер
pea|горошина
peaceful|мирный
pear|груша
pence|пенс
penfriend|друг по переписке
pepper|перец
perfect|идеальный
perfectly|идеально
performance|выступление
perfume|духи
perhaps|возможно
permission|разрешение
personality|личность
petrol|бензин
photograph|фотография
photographer|фотограф
photography|фотография
physical|физический
physically|физически
pile|куча
pilgrim|паломник
pill|таблетка
pilot|пилот
pity|жалость
planet|планета
plant|растение
plastic|пластиковый
playful|игривый
playground|игровая площадка
pleasant|приятный
pleased|довольный
pleasing|приятный
plenty|множество
plural|множественное число
police|полиция
policeman|полицейский
policewoman|женщина-полицейский
political|политический
pollute|загрязнять
popular|популярный
population|население
portrait|портрет
position|положение
possibly|возможно
pour|наливать
power|сила
powerful|мощный
prediction|предсказание
pretend|притворяться
pride|гордость
principal|главный
print|печатать
printer|принтер
pro|профессионал
probably|вероятно
produce|производить
product|продукт
production|производство
professional|профессиональный
progressive|прогрессивный
pronounce|произносить
pronunciation|произношение
proper|надлежащий
psychologist|психолог
publish|публиковать
punctuation|пунктуация
pursue|преследовать
queen|королева
quick|быстрый
quietly|тихо
quit|бросать
quite|довольно
quiz|викторина
racket|ракетка
raincoat|плащ
raise|поднимать
range|диапазон
rap|рэп
rate|ставка
rather|довольно
rating|рейтинг
raw|сырой
ray|луч
reach|достигать
receipt|чек
recent|недавний
recently|недавно
receptionist|администратор
record|записывать
recycle|перерабатывать
refer|ссылаться
refrigerator|холодильник
regret|сожалеть
regular|регулярный
regularly|регулярно
relax|расслабляться
relaxed|расслабленный
release|выпуск
remain|оставаться
remind|напоминать
remote|отдалённый
reply|ответ
report|доклад
request|просьба
response|ответ
retire|уходить на пенсию
retired|вышедший на пенсию
return|возвращение
reunion|воссоединение
rhythm|ритм
right-hand|правый
road|дорога
roast|жарить
rob|грабить
robbery|ограбление
robin|малиновка
rock|скала
roll|рулон
romance|роман
romantic|романтичный
roof|крыша
root|корень
rope|верёвка
roughly|примерно
round|вокруг
roundabout|кольцевая развязка
royal|королевский
rugby|регби
ruin|разрушать
rumor|слух
runner|бегун
running|бег
rush|спешка
sadly|грустно
safe|безопасный
sailing|парусный спорт
sake|ради
sample|образец
sandy|песчаный
sauce|соус
sausage|колбаса
scale|масштаб
scarf|шарф
scene|сцена
scenery|пейзаж
schoolchild|школьник
schoolwork|учёба
scientific|научный
scissors|ножницы
scream|крик
screen|экран
screw|винт
script|сценарий
seafood|морепродукты
search|поиск
seaside|побережье
secret|секрет
secretary|секретарь
seed|семя
seek|искать
seem|казаться
semester|семестр
send|отправлять
senior|старший
sense|смысл
separate|отдельный
seriously|серьёзно
serve|обслуживать
sew|шить
shade|тень
shadow|тень
shampoo|шампунь
shape|форма
shell|ракушка
shine|светить
shock|шок
shoot|стрелять
shore|берег
shot|выстрел
shout|крик
shut|закрывать
sightseeing|осмотр достопримечательностей
silence|тишина
silently|молча
silly|глупый
silver|серебряный
simple|простой
simply|просто
singing|пение
single|единственный
singular|единственный
sink|раковина
skate|конёк
skateboarding|скейтбординг
skating|катание на коньках
ski|лыжа
skiing|катание на лыжах
slave|раб
sleepless|бессонный
sleepy|сонный
slice|ломтик
slide|горка
slim|стройный
slowly|медленно
smooth|гладкий
smoothly|плавно
snack|закуска
snowboarding|сноубординг
so|так
soap|мыло
sock|носок
soda|газировка
soft|мягкий
softly|мягко
software|программное обеспечение
soldier|солдат
someday|когда-нибудь
somewhere|где-нибудь
sound|звук
south|южный
space|космос
spaceship|космический корабль
spaghetti|спагетти
speaker|докладчик
specific|конкретный
speed|скорость
spill|проливать
splash|плескаться
split|разделённый
spoon|ложка
spread|распространение
square|квадратный
stadium|стадион
staff|персонал
stair|ступенька
stamp|марка
state|государство
statement|заявление
statue|статуя
steak|стейк
steal|красть
stomach|желудок
stomachache|боль в животе
stove|плита
stranger|незнакомец
strength|сила
strike|забастовка
string|нитка
strongly|сильно
structure|структура
stuff|вещи
style|стиль
succeed|добиваться успеха
successfully|успешно
sudden|внезапный
suit|костюм
suitable|подходящий
suitcase|чемодан
summary|краткое изложение
sunflower|подсолнух
sunglasses|солнечные очки
sunlight|солнечный свет
superlative|превосходная степень
superstar|суперзвезда
supper|ужин
surfing|сёрфинг
surname|фамилия
surprising|удивительный
swallow|глотать
sweat|потеть
sweater|свитер
sweetheart|возлюбленный
swimsuit|купальник
symbol|символ
symphony|симфония
system|система
tablespoon|столовая ложка
talent|талант
tap|кран
tape|лента
target|цель
tear|слеза
teenage|подростковый
teenager|подросток
terrify|пугать
terrorist|террористический
text|текст
textbook|учебник
therefore|поэтому
thief|вор
third|третий
thirsty|жаждущий
thought|мысль
thunderstorm|гроза
tidy|аккуратный
tie|галстук
tights|колготки
timetable|расписание
tip|совет
title|название
toast|тост
toe|палец ноги
tone|тон
toothache|зубная боль
toothbrush|зубная щётка
tour|тур
tourist|турист
track|след
trade|торговля
traditional|традиционный
traffic|движение
training|тренировка
tram|трамвай
trap|ловушка
traveler|путешественник
treasure|сокровище
trick|трюк
trouble|проблема
truly|действительно
trust|доверять
truth|правда
tune|мелодия
twice|дважды
uncertain|неуверенный
uncomfortable|неудобный
underwater|подводный
uneasy|беспокойный
unfair|несправедливый
unforgettable|незабываемый
unfortunately|к сожалению
unhappy|несчастный
unhealthy|нездоровый
uniform|одинаковый
unimportant|неважный
unit|единица
unknown|неизвестный
unlike|непохожий
unnecessary|ненужный
unpleasant|неприятный
unusual|необычный
up|вверх
upset|расстроенный
upstairs|наверху
used|привыкший
useful|полезный
valley|долина
verb|глагол
view|вид
violent|жестокий
violin|скрипка
vocabulary|словарный запас
voice|голос
walking|ходьба
wallet|кошелёк
wander|бродить
washing-up|мытьё посуды
wave|волна
wealth|богатство
web|сеть
wedding|свадьба
weekday|будний день
weekly|еженедельный
weep|плач
weigh|весить
weight|вес
well-known|известный
west|западный
wet|мокрый
wheelchair|инвалидное кресло
whole|целый
wide|широкий
widely|широко
wild|дикий
windy|ветреный
wine|вино
winner|победитель
wisdom|мудрость
wise|мудрый
wonder|удивляться
wood|дерево
wooden|деревянный
wool|шерсть
worldwide|повсеместно
worried|обеспокоенный
worse|худший
worst|наихудший
writing|письмо
yeah|да
zone|зона
